Timestamp,What type of content is this?,What is the title?,"Who is the creator (artist, author, or host)?","If an album, what is the genre?"
2/16/2026 16:06:42,Podcast,Nobody Asked Us,Des and Kara,
2/16/2026 16:07:08,Podcast,Redhanded,Hannah and Suruthi,
2/16/2026 16:07:35,Album,Kick,INXS,rock
2/16/2026 16:07:54,Album,Am i the drama?,Cardi B,hip hop
2/16/2026 16:08:32,Album,returning to myself,brandi carlisle,rock
2/25/2026 7:55:46,Album,UNDERTALE Soundtrack,Toby Fox,Video Game Music
2/25/2026 7:57:23,Album,Magical Mystery Tour,The Beatles,rock/pop
2/25/2026 7:57:35,Album,Ride the Lightning,Metallica,Thrash Metal
2/25/2026 7:57:49,Album,INSIDE,Bo Burnham,Pop
2/25/2026 7:59:17,Album,Soon It Will Be Cold Enough,Emancipator,TripHop
2/25/2026 8:00:40,Album,Frames Per Second,Lotus,Funk Fusion
2/25/2026 8:00:40,Album,New in Town,John Mulaney,Comedy
2/25/2026 8:11:07,Podcast,Dungeons and Daddies ,Anthony Birch ,
2/25/2026 9:16:46,Podcast,The Magnus Archives,Jonathan Sims (not The Archivist),
2/25/2026 9:17:00,N/A,N/A,N/A,N/A
2/25/2026 9:17:14,Album,Wish You Were Here,Pink Floyd,Rock
2/25/2026 9:17:28,Podcast,Armchair Expert,Dax Shepard and Monica Padman,
2/25/2026 9:17:34,Album,OK Computer,Radiohead,Alternative Rock
2/25/2026 9:17:37,Album,Riot!,Paramore,Alternative
2/25/2026 9:17:54,Album,Folklore,Taylor Swift,indie folk
2/25/2026 9:18:01,Album,Ca$ino,Baby Keem,Hip-Hop/Rap
2/25/2026 9:18:01,Album,Hyperdrama,Justice,Disco
2/25/2026 9:18:17,Album,When we were friends,the backseat lovers,alternative rock
2/25/2026 9:18:18,Album,Superunknown,Soundgarden,rock
2/25/2026 9:18:28,Song,Curses,The Crane Wives,
2/25/2026 9:18:54,Song,star tripping,Kevin Atwater,Alternative
2/25/2026 9:19:02,Album,A Minute...,Myles Smith,folk
2/25/2026 9:19:03,Album,The Slow Rush,Tame Impala,Alternative
2/25/2026 9:19:09,Album,My 21st Century Blues,RAYE,Jazz
2/25/2026 9:19:10,Album,The Art of Loving,Olivia Dean,Pop
2/25/2026 9:19:20,Album,Random Access Memories,Daft Punk,Disco
2/25/2026 9:19:25,Audio Book,Project Hail Mary,Andy Weir,
2/25/2026 9:19:27,Song,Kokomo,The Beach Boys,pop
2/25/2026 9:20:26,Album,Chet Baker Sings,Chat Baker,Jazz
2/25/2026 9:20:26,Podcast,On Point,Megnha Chakrabarti,
2/25/2026 9:20:26,Album,Man's Best Friend,Sabrina Carpenter,Pop
2/25/2026 9:20:35,Album,The Forever Story,JID,hip-hop
2/25/2026 9:20:39,Album,Chromakopia,"Tyler the creator",rap
2/25/2026 9:21:14,Album,Hit Me Hard and Soft,Billie Eilish,Alternative Pop
2/25/2026 9:22:13,Album,Extra Texture (read all about it),George Harrison,rock
2/25/2026 9:22:20,Album,ATLiens,OutKast,hip hop
2/25/2026 9:22:33,Album,Vices,Weiland,pop
2/25/2026 9:23:03,Album,The Forever Story,JID,Hip-Hop
2/25/2026 9:25:28,Album,The College Dropout,Kanye West,hip hop
2/25/2026 10:00:01,Album,Thriller,michael jackson,pop
2/25/2026 10:00:23,Album,All Things Must Pass,George Harrison,rock
2/25/2026 10:02:56,Album,IGOR,Tyler the Creator,alternative
